Date,Account,Amount,Subcategory,Memo,Property,Description
2022-04-01,20-74-09 60458872,-8.49,PAYMENT,AMZNMktplace          ON 31 MAR          BCC,,
2022-04-01,20-74-09 40406538,-19.64,PAYMENT,LIDL GB BEDFORD       ON 31 MAR          CLP,,
2022-04-01,20-53-97 30728691,-5.0,PAYMENT,P TAPEREK             3 12-14 KEY        BBP,F31214ALH,P TAPEREK             3 12-14 KEY        BBP
2022-04-01,20-74-09 60458872,-15.0,REPEATPMT,SSE SOUTHERN ELECT    6882766014         STO,169FAW,Electric
2022-04-01,20-74-09 40406538,-88.7,PAYMENT,COSTCO WHOLESALE #    ON 31 MAR          CLP,,
2022-04-01,20-53-97 30728691,695.0,FT,FURCZYK Z K           RENTAPRIL          FT,F88ALH,"Rent for period 30/03/2022 - 29/04/2022 from Miss Zofia Furczyk - Flat 8, 8 Alhambra Road, Southsea"
2022-04-01,20-74-09 60458872,-1200.0,REPEATPMT,MR MATTHEW STUART     20533030728691     STO,,
2022-04-01,20-74-09 40406538,-88.93,PAYMENT,BP NEWHAM AVENUE C    ON 30 MAR          BCC,,
2022-04-01,20-53-97 30728691,1200.0,STO,TUCKER MS     %0 P    20533030728691     STO,,
2022-04-01,20-74-09 60458872,-5.0,REPEATPMT,M TUCKER              MTUCKER            STO,,
2022-04-04,20-74-09 40406538,-75.37,PAYMENT,TESCO STORE 2547      ON 03 APR          BCC,,
2022-04-01,20-53-97 30728691,-50.0,REPEATPMT,NATIONWIDE            0604/229172770     STO,,
2022-04-04,20-74-09 40406538,-6.18,PAYMENT,MCDONALDS             ON 01 APR          CLP,,
2022-04-01,20-53-97 30728691,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2022-04-01,20-74-09 60458872,-50.0,REPEATPMT,M TUCKER              M TUCKER           STO,,
2022-04-01,20-53-97 30728691,-160.0,REPEATPMT,ALHAMBRA ROAD MANA    209254 13686035    STO,,
2022-04-04,20-74-09 40406538,-25.09,PAYMENT,FOOT LOCKER UK 414    ON 02 APR          CLP,,
2022-04-01,20-74-09 60458872,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2022-04-01,20-53-97 30728691,-157.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 23534332    STO,,
2022-04-04,20-74-09 40406538,-26.74,PAYMENT,BOOTS,,
2022-04-01,20-74-09 60458872,-160.0,REPEATPMT,16-18 ALHAMBRA RD     209254 13686035    STO,,
2022-04-01,20-74-09 60458872,-157.5,REPEATPMT,12-14 ALHAMBRA RD     209254 23534332    STO,,
2022-04-01,20-53-97 30728691,-232.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 83672832    STO,,
2022-04-04,20-74-09 40406538,-39.98,PAYMENT,TESCO STORE 2105      ON 01 APR          CLP,,
2022-04-01,20-74-09 60458872,-232.5,REPEATPMT,4-6 ALHAMBRA RD CS    209254 83672832    STO,,
2022-04-01,20-53-97 30728691,-218.74,DIRECTDEBIT,PLATFORM FUNDING      01050229961090     DDR,,
2022-04-04,20-74-09 40406538,-16.96,PAYMENT,MCDONALDS             ON 31 MAR          CLP,,
2022-04-01,20-53-97 30728691,-220.52,DIRECTDEBIT,PLATFORM FUNDING      01050228964703     DDR,,
2022-04-04,20-74-09 40406538,-3.49,PAYMENT,gohenry Limited       ON 01 APR          BCC,,
2022-04-01,20-74-09 60458872,-201.92,DIRECTDEBIT,PLATFORM FUNDING      01050230313307     DDR,,
2022-04-01,20-74-09 60458872,-219.11,DIRECTDEBIT,PLATFORM FUNDING      01050229961082     DDR,,
2022-04-05,20-74-09 40406538,-63.75,PAYMENT,WAITROSE 722          ON 04 APR          CLP,,
2022-04-01,20-53-97 30728691,-300.0,DIRECTDEBIT,HMRC NDDS             107381297663665492,,
