Date,Account,Amount,Subcategory,Memo
2022-08-01,20-53-97 30728691,-50.0,Standing Order,NATIONWIDE            0604/229172770 STO
2022-08-01,20-53-97 30728691,675.0,Funds Transfer,FURCZYK Z K           RENTAUGUST FT
2022-08-01,20-74-09 60458872,-32.76,Direct Debit,PIC RE ARGOS PET      PETAG934657920001 DDR
2022-08-01,20-74-09 60458872,-22.16,Direct Debit,EE LIMITED            Q13077400342508806 DD
2022-08-01,20-74-09 60458872,-157.99,Direct Debit,CHL HOME LOAN         CHL00002/907372200 DD
2022-08-01,20-74-09 60458872,-300.0,Direct Debit,HMRC NDDS             107381630911921615 DD
2022-08-01,20-74-09 60458872,-263.83,Direct Debit,PLATFORM FUNDING      01050229961082 DDR
2022-08-01,20-74-09 60458872,-243.13,Direct Debit,PLATFORM FUNDING      01050230313307 DDR
2022-08-01,20-74-09 60458872,-232.5,Standing Order,4-6 ALHAMBRA RD CS    209254 83672832 STO
2022-08-01,20-53-97 30728691,1200.0,Standing Order,TUCKER MS %0 P        20533030728691 STO
2022-08-01,20-74-09 60458872,-157.5,Standing Order,12-14 ALHAMBRA RD     209254 23534332 STO
2022-08-01,20-74-09 60458872,-50.0,Standing Order,23 HAMPSHIRE TERRA    209254 13676978 STO
2022-08-01,20-74-09 60458872,-50.0,Standing Order,M TUCKER              M TUCKER STO
2022-08-01,20-74-09 60458872,-5.0,Standing Order,M TUCKER              MTUCKER STO
2022-08-01,20-74-09 60458872,-1200.0,Standing Order,MR MATTHEW STUART     20533030728691 STO
2022-08-01,20-74-09 60458872,47.75,Counter Credit,BEALS ESTATE AGENT    FLAT 68 ALHAMBRA R BG
2022-08-01,20-74-09 60458872,-11.54,Card Purchase,Amazon.co.uk*UE893    ON 01 AUG BCC
2022-08-01,20-74-09 60458872,345.0,Counter Credit,S Lindemere           20 4-6 ALHAMBRARD BG
2022-08-01,20-74-09 60458872,600.0,Funds Transfer,NATSO P               RENT FT
2022-08-01,20-74-09 60458872,-160.0,Standing Order,16-18 ALHAMBRA RD     209254 13686035 STO
2022-08-01,20-53-97 30728691,-50.0,Standing Order,23 HAMPSHIRE TERRA    209254 13676978 STO
2022-08-01,20-74-09 60458872,-158.92,Direct Debit,CHL HOME LOAN         CHL00002/907371904 DD
2022-08-01,20-53-97 30728691,-157.5,Standing Order,ALHAMBRA ROAD MANA    209254 23534332 STO
2022-08-01,20-53-97 30728691,-160.0,Standing Order,ALHAMBRA ROAD MANA    209254 13686035 STO
2022-08-01,20-53-97 30728691,-249.32,Direct Debit,TOPAZ FIN JASPER      PRU00010/190859005 DD
2022-08-01,20-53-97 30728691,-612.47,Direct Debit,NRAM                  NRD00001/631516204 DD
2022-08-01,20-53-97 30728691,-300.0,Direct Debit,HMRC NDDS             107381297911921592 DD
2022-08-01,20-53-97 30728691,-265.52,Direct Debit,PLATFORM FUNDING      01050228964703 DDR
2022-08-01,20-53-97 30728691,-429.0,Direct Debit,TOPAZ RE SIBERITE     SIB00001/480016104 DD
2022-08-01,20-53-97 30728691,-232.5,Standing Order,ALHAMBRA ROAD MANA    209254 83672832 STO
2022-08-01,20-53-97 30728691,-263.38,Direct Debit,PLATFORM FUNDING      01050229961090 DDR
2022-08-02,20-74-09 40406538,-50.0,Card Purchase,Towers Health & Ra    ON 01 AUG BCC
2022-08-02,20-74-09 40406538,-11.8,Contactless Card Purchase,CO OPERATIVE FOOD     ON 01 AUG CLP
2022-08-02,20-74-09 40406538,-30.37,Contactless Card Purchase,LIDL GB BEDFORD       ON 01 AUG CLP
2022-08-02,20-74-09 60458872,-300.0,Standing Order,G & F VALENTINO       M TUCKER STO
2022-08-02,20-74-09 40406538,-248.08,Card Purchase,THE GARAGE SHEFFOR    ON 01 AUG BCC
2022-08-02,20-53-97 30728691,-37.95,Direct Debit,L&G INSURANCE MI      0114399215-220802 DDR
2022-08-03,20-74-09 60458872,-194.82,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/130654303 DD
2022-08-03,20-74-09 60458872,-213.47,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/131188407 DD
2022-08-03,20-74-09 60458872,-213.42,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/131992707 DD
2022-08-03,20-74-09 60458872,-285.02,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/137376006 DD
