Date,Account,Amount,Subcategory,Memo,Property,Description
2022-02-01,20-74-09 60458872,-1200.0,REPEATPMT,MR MATTHEW STUART     20533030728691     STO,,
2022-02-01,20-74-09 40406538,-27.37,PAYMENT,TESCO STORE 2105      ON 31 JAN          CLP,,
2022-02-01,20-53-97 30728691,695.0,FT,FURCZYK Z K           RENTFEBRUARY22     FT,F88ALH,"Rent for period 30/01/2022 - 29/02/2022 from Miss Zofia Furczyk - Flat 8, 8 Alhambra Road, Southsea"
2022-02-01,20-74-09 60458872,-500.0,REPEATPMT,M TUCKER              MTUCKER            STO,,
2022-02-01,20-74-09 40406538,-30.0,PAYMENT,MARKS&SPENCER PLC     ON 31 JAN          CLP,,
2022-02-01,20-53-97 30728691,1200.0,STO,TUCKER MS     %0 P    20533030728691     STO,,
2022-02-01,20-74-09 60458872,-50.0,REPEATPMT,M TUCKER              M TUCKER           STO,,
2022-02-02,20-74-09 40406538,-2.99,PAYMENT,gohenry Limited       ON 01 FEB          BCC,,
2022-02-01,20-53-97 30728691,-50.0,REPEATPMT,NATIONWIDE            0604/229172770     STO,,
2022-02-01,20-74-09 60458872,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2022-02-03,20-74-09 40406538,-107.76,PAYMENT,TESCO STORE 2547      ON 02 FEB          BCC,,
2022-02-01,20-53-97 30728691,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2022-02-03,20-74-09 40406538,-28.95,PAYMENT,SP * MOTELROCKS.CO    ON 02 FEB          BCC,,
2022-02-01,20-53-97 30728691,-160.0,REPEATPMT,ALHAMBRA ROAD MANA    209254 13686035    STO,,
2022-02-01,20-74-09 60458872,-160.0,REPEATPMT,16-18 ALHAMBRA RD     209254 13686035    STO,,
2022-02-01,20-53-97 30728691,-157.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 23534332    STO,,
2022-02-01,20-74-09 60458872,-157.5,REPEATPMT,12-14 ALHAMBRA RD     209254 23534332    STO,,
2022-02-04,20-74-09 40406538,-74.83,PAYMENT,BP BEDFORD EXPRESS    ON 02 FEB          CLP,,
2022-02-01,20-53-97 30728691,-232.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 83672832    STO,,
2022-02-01,20-74-09 60458872,-232.5,REPEATPMT,4-6 ALHAMBRA RD CS    209254 83672832    STO,,
2022-02-04,20-74-09 40406538,-31.38,PAYMENT,A1 Foods              ON 03 FEB          CLP,,
2022-02-01,20-53-97 30728691,-1578.0,DIRECTDEBIT,THE HARPUR TRUST D    GVALS1             DDR,,
2022-02-01,20-74-09 60458872,-85.92,DIRECTDEBIT,CHL HOME LOAN         CHL00002/907372200 DDR,,
2022-02-04,20-74-09 40406538,-110.0,PAYMENT,URBANOUTFITTERS.CO    ON 03 FEB          BCC,,
2022-02-01,20-53-97 30728691,-1509.66,DIRECTDEBIT,THE HARPUR TRUST D    BVAL000            DDR,,
2022-02-07,20-74-09 40406538,-10.0,CASH,TESCO                 TESCO BE BR DR EXP,,
2022-02-01,20-74-09 60458872,-86.43,DIRECTDEBIT,CHL HOME LOAN         CHL00002/907371904 DDR,,
2022-02-07,20-74-09 40406538,-7.0,PAYMENT,BP BEDFORD EXPRESS    ON 05 FEB          CLP,,
2022-02-01,20-53-97 30728691,-2331.86,DIRECTDEBIT,THE HARPUR TRUST D    TUCKM8  BVALR8     DDR,,
2022-02-01,20-74-09 60458872,-28.45,DIRECTDEBIT,PIC RE ARGOS PET      PETAG934657920001  DDR,,
2022-02-07,20-74-09 40406538,-6.15,PAYMENT,BP BEDFORD EXPRESS    ON 05 FEB          CLP,,
2022-02-01,20-53-97 30728691,-183.02,DIRECTDEBIT,PLATFORM FUNDING      01050229961090     DDR,,
2022-02-01,20-74-09 60458872,-168.95,DIRECTDEBIT,PLATFORM FUNDING      01050230313307     DDR,,
2022-02-07,20-74-09 40406538,-23.3,PAYMENT,WAITROSE              ON 05 FEB          CLP,,
2022-02-01,20-53-97 30728691,-184.52,DIRECTDEBIT,PLATFORM FUNDING      01050228964703     DDR,,
2022-02-01,20-74-09 60458872,-183.34,DIRECTDEBIT,PLATFORM FUNDING      01050229961082     DDR,,
2022-02-01,20-53-97 30728691,-352.32,DIRECTDEBIT,TOPAZ RE SIBERITE     SIB00001/480016104 DDR,,
2022-02-02,20-74-09 60458872,-250.0,REPEATPMT,G & F VALENTINO       M TUCKER           STO,,
2022-02-07,20-74-09 40406538,-11.45,PAYMENT,BP BEDFORD EXPRESS    ON 04 FEB          CLP,,
2022-02-03,20-74-09 60458872,-168.11,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/137376104 DDR,,
2022-02-07,20-74-09 40406538,-10.11,PAYMENT,BP BEDFORD EXPRESS    ON 03 FEB          CLP,,
2022-02-01,20-53-97 30728691,-502.02,DIRECTDEBIT,NRAM                  NRD00001/631516204 DDR,,
2022-02-03,20-74-09 60458872,-190.03,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/137376006 DDR,,
2022-02-07,20-74-09 40406538,-7.4,PAYMENT,BP BEDFORD EXPRESS    ON 03 FEB          CLP,,
2022-02-01,20-53-97 30728691,-166.23,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190859005 DDR,,
2022-02-07,20-74-09 40406538,-52.34,PAYMENT,SALLYSALONSERVICES    ON 04 FEB          BCC,,
2022-02-02,20-53-97 30728691,-37.95,DIRECTDEBIT,L&G INSURANCE MI      0114399215-220202  DDR,,
2022-02-03,20-74-09 60458872,-209.76,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/134467209 DDR,,
2022-02-03,20-53-97 30728691,-11.49,PAYMENT,P TAPEREK             BOLSTER 716-18     BBP,F71618ALH,P TAPEREK             BOLSTER 716-18     BBP
2022-02-03,20-74-09 60458872,-202.51,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/134338410 DDR,,
2022-02-08,20-74-09 40406538,-4.7,PAYMENT,ZTL*THE PAVILION T    ON 07 FEB          CLP,,
2022-02-03,20-53-97 30728691,-204.32,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/191462710 DDR,,
2022-02-03,20-74-09 60458872,-166.31,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/134333009 DDR,,
2022-02-08,20-74-09 40406538,-83.15,PAYMENT,MARKS&SPENCER PLC     ON 07 FEB          CLP,,
2022-02-03,20-53-97 30728691,-364.79,DIRECTDEBIT,SKIPTON B.S.          SBS00001/165905969 DDR,,
2022-02-03,20-74-09 60458872,-202.36,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/134332909 DDR,,
2022-02-08,20-74-09 40406538,-5.1,PAYMENT,COSTA COFFEE 43035    ON 07 FEB          CLP,,
2022-02-03,20-74-09 60458872,-166.21,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/134121904 DDR,,
2022-02-08,20-74-09 40406538,-104.77,PAYMENT,NEW COUNTY SERVICE    ON 07 FEB          BCC,,
2022-02-04,20-53-97 30728691,850.0,DIRECTDEP,L Nikolov             RENT FOR 171 FLAT3 BGC,F3171FAW,"Rent for period 01/02/2022 - 30/03/2022 from Mr Lachezar Nikolav and Miss Daniella Fulker - Flat 3, 171 Fawcett Rd"
2022-02-09,20-74-09 40406538,-9.9,PAYMENT,SUMUP *COFFEE AT T    ON 08 FEB          CLP,,
2022-02-04,20-53-97 30728691,-50.0,PAYMENT,CHRIS ROGERS          CR81 7 16-18       BBP,F71618ALH,CHRIS ROGERS          CR81 7 16-18       BBP
2022-02-03,20-74-09 60458872,-128.19,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/132514207 DDR,,
2022-02-09,20-74-09 40406538,-7.25,PAYMENT,STARBUCKS WISLEY S    ON 08 FEB          CLP,,
2022-02-04,20-53-97 30728691,452.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 78 ALHAMBRA R BGC,,
2022-02-03,20-74-09 60458872,-142.29,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/131992707 DDR,,
2022-02-09,20-74-09 40406538,-14.2,PAYMENT,BP BEDFORD EXPRESS    ON 07 FEB          CLP,,
2022-02-04,20-53-97 30728691,775.0,STO,M DOYLE               23B HAMPSHIRE TER. STO,23BHAM,Rent for period 04/02/2022 - 03/03/2022 from Mr Marut Doyle and Miss Thunyakan Chewwaiyaphat - 23B Hampshire Terrace
2022-02-03,20-74-09 60458872,-142.32,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/131188407 DDR,,
2022-02-09,20-74-09 40406538,-8.0,DIRECTDEBIT,ID MOBILE LIMITED     12253154/001       DDR,,
2022-02-03,20-74-09 60458872,-129.89,DIRECTDEBIT,TOPAZ FIN ROSINCA     BLA00010/130654303 DDR,,
2022-02-04,20-53-97 30728691,-75.0,REPEATPMT,KINGSTON UNITY        PL684048A VALENTNO STO,,
2022-02-04,20-74-09 60458872,-32.99,PAYMENT,AMZNMktplace          ON 03 FEB          BCC,,
2022-02-10,20-74-09 40406538,-42.0,PAYMENT,SUMUP *ABSOLUTE BE    ON 09 FEB          CLP,,
2022-02-04,20-53-97 30728691,-75.0,DIRECTDEBIT,SHEPHERDS FRIENDLY    PN026484A          DDR,,
2022-02-04,20-74-09 60458872,479.48,DIRECTDEP,BEALS ESTATE AGENT    196A KINGSTON ROAD BGC,,
2022-02-10,20-74-09 40406538,-32.95,PAYMENT,MARKS&SPENCER PLC     ON 09 FEB          CLP,,
2022-02-07,20-53-97 30728691,-126.0,DIRECTDEBIT,PCC COLLECTION ACC    10522094X          DDR,F88ALH,"Council Tax - not sure what property so assign to this as have bit, wrong ref though."
2022-02-04,20-74-09 60458872,452.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3169 FAWCETT  BGC,,
2022-02-10,20-74-09 40406538,-9.49,PAYMENT,CO OPERATIVE FOOD     ON 09 FEB          CLP,,
2022-02-08,20-53-97 30728691,249.99,DIRECTDEP,THE DISPUTE SERVIC    TDS EW19935282     BGC,F71618ALH,THE DISPUTE SERVIC    TDS EW19935282     BGC. Habeel
2022-02-11,20-74-09 40406538,-20.0,CASH,NOTEMACHINE           ELSTOW SS,,
2022-02-08,20-53-97 30728691,-200.01,DIRECTDEBIT,BHAM MIDSHIRES        6092076502030000   DDR,,
2022-02-04,20-74-09 60458872,-15.0,REPEATPMT,SSE SOUTHERN ELECT    6882766014         STO,169FAW,Electric
2022-02-10,20-53-97 30728691,65.11,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1216-18 ALHAM BGC,,
2022-02-04,20-74-09 60458872,160.0,DIRECTDEP,13 ALHMABRA           SEQUENCE  UK  LIMI BGC,F131618ALH,"Rent for period 22/01/2022 - 21/02/2022 from Mr Martin Ivanov - Flat 13, 16-18 Alhambra Road"
2022-02-14,20-74-09 40406538,-2.15,PAYMENT,Vue Cinemas           ON 13 FEB          CLP,,
2022-02-10,20-53-97 30728691,388.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1612-14 ALHAM BGC,,
2022-02-07,20-74-09 60458872,-84.39,PAYMENT,KAREN MILLEN          ON 06 FEB          BCC,,House
2022-02-14,20-74-09 40406538,-12.99,PAYMENT,T K MAXX              ON 13 FEB          CLP,,
2022-02-10,20-53-97 30728691,131.04,DIRECTDEP,BEALS ESTATE AGENT    FLAT 512-14 ALHAMB BGC,,
2022-02-14,20-74-09 40406538,-11.25,PAYMENT,POUNDLAND LTD         ON 13 FEB          CLP,,
2022-02-07,20-74-09 60458872,-3.0,PAYMENT,HM LAND REGISTRY -    ON 03 FEB          BCC,F58ALH,HM LAND REGISTRY -    ON 03 FEB          BCC
2022-02-14,20-74-09 40406538,-58.25,PAYMENT,MARKS&SPENCER PLC     ON 13 FEB          CLP,,
2022-02-14,20-53-97 30728691,-67.03,PAYMENT,PASTDUE CREDIT SOL    24799920 716-18    BBP,F71618ALH,PASTDUE CREDIT SOL    24799920 716-18    BBP
2022-02-09,20-74-09 60458872,-18.48,DIRECTDEBIT,BHAM MIDSHIRES        6792116703030000   DDR,,
2022-02-14,20-74-09 40406538,-73.0,PAYMENT,HOLLISTER (MIDSUMM    ON 12 FEB          CLP,,
2022-02-14,20-53-97 30728691,-56.41,DIRECTDEBIT,BT GROUP PLC          GB14092007-000089  DDR,,
2022-02-10,20-74-09 60458872,66.0,SPLIT,F13 IVANOV,F131618ALH,"Rent for period 22/01/2022 - 21/02/2022 from Mr Martin Ivanov - Flat 13, 16-18 Alhambra Road"
2022-02-10,20-74-09 60458872,-66.0,SPLIT,F13 IVANOV,F131618ALH,Fox & Sons
2022-02-14,20-74-09 40406538,-29.0,PAYMENT,HOLLISTER (MIDSUMM    ON 12 FEB          CLP,,
2022-02-14,20-53-97 30728691,-37.68,DIRECTDEBIT,AVIVA LIFE            014033997          DDR,,
2022-02-14,20-53-97 30728691,600.0,DIRECTDEP,Barber Bria           DEPOSIT            BGC,F31618ALH,"Rent for period 15/02/2022 - 14/03/2022 from Miss Bria Barber and Mr Shawn Griffiths - Flat 3, 16-18 Alhambra Road, Southsea"
2022-02-14,20-74-09 40406538,-101.14,PAYMENT,NEW COUNTY SERVICE    ON 13 FEB          BCC,,
2022-02-10,20-74-09 60458872,-225.0,PAYMENT,LOCKFORCE PORTSMOU    1019469 -1 4321LON BBP,F4321LON,LOCKFORCE PORTSMOU    1019469 -1 4321LON BBP
2022-02-10,20-74-09 60458872,-144.0,PAYMENT,A BECK PLUMBING       12119 6 16-18 TOIL BBP,F61618ALH,A BECK PLUMBING       12119 6 16-18 TOIL BBP
2022-02-14,20-74-09 40406538,-8.7,PAYMENT,COSTA COFFEE 43035    ON 12 FEB          CLP,,
2022-02-15,20-53-97 30728691,700.0,FT,MARIA C               RENT FLAT 23 4-6   FT,F2346ALH,"Rent for period 15/02/2022 - 14/03/2022 from Miss Andreea Maria and Mr Cosmin Maria - Flat 23, 4-6 Alhambra Road, Southsea"
2022-02-10,20-74-09 60458872,-156.0,PAYMENT,TAXCALC.COM           ON 09 FEB          BCC,RSA,TAXCALC.COM           ON 09 FEB          BCC
2022-02-14,20-74-09 40406538,-31.89,PAYMENT,TESCO STORE 2105      ON 11 FEB          CLP,,
2022-02-15,20-53-97 30728691,-166.19,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190959705 DDR,,
2022-02-10,20-74-09 60458872,88.35,DIRECTDEP,BEALS ESTATE AGENT    FLAT 3163 FRATTON  BGC,,
2022-02-14,20-74-09 40406538,-4.5,PAYMENT,IZ *THE PAVILION T    ON 11 FEB          CLP,,
2022-02-15,20-53-97 30728691,-171.99,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190892600 DDR,,
2022-02-15,20-53-97 30728691,-171.99,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190885203 DDR,,
2022-02-10,20-74-09 60458872,420.96,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1169 FAWCETT  BGC,,
2022-02-14,20-74-09 40406538,-8.34,PAYMENT,BUDGENS               ON 11 FEB          CLP,,
2022-02-10,20-74-09 60458872,135.21,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1012-14 ALHAM BGC,,
2022-02-15,20-53-97 30728691,-166.22,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190885105 DDR,,
2022-02-14,20-74-09 40406538,-24.15,PAYMENT,BP BEDFORD EXPRESS    ON 10 FEB          CLP,,
2022-02-15,20-53-97 30728691,-166.19,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190859506 DDR,,
2022-02-10,20-74-09 60458872,416.75,DIRECTDEP,BEALS ESTATE AGENT    FLAT 2171 FAWCETT  BGC,,
2022-02-15,20-74-09 40406538,-1.69,PAYMENT,MILLIES COOKIES       ON 14 FEB          CLP,,
2022-02-10,20-74-09 60458872,135.66,DIRECTDEP,BEALS ESTATE AGENT    FLAT 712-14 ALHAMB BGC,,
2022-02-15,20-53-97 30728691,-166.25,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190812705 DDR,,
2022-02-15,20-74-09 40406538,-31.0,PAYMENT,HARRODS BEAUTY LTD    ON 14 FEB          CLP,,
2022-02-10,20-74-09 60458872,452.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 68 ALHAMBRA R BGC,,
2022-02-15,20-53-97 30728691,-166.22,DIRECTDEBIT,TOPAZ FIN JASPER      PRU00010/190778206 DDR,,
2022-02-15,20-74-09 40406538,-7.0,PAYMENT,CHURROS MEXICANOS     ON 14 FEB          CLP,,
2022-02-10,20-74-09 60458872,452.0,DIRECTDEP,BEALS ESTATE AGENT    FLAT 1412-14 ALHAM BGC,,
2022-02-15,20-74-09 40406538,-13.07,PAYMENT,BUDGENS               ON 14 FEB          CLP,,
2022-02-15,20-53-97 30728691,-166.81,DIRECTDEBIT,PLATFORM FUNDING      01050228957685     DDR,,
2022-02-15,20-74-09 40406538,-31.44,PAYMENT,BP BEDFORD EXPRESS    ON 12 FEB          CLP,,
2022-02-17,20-53-97 30728691,750.0,SPLIT,F7 1618 JACKSON,F71618ALH,"Rent for period 17/02/2022 - 16/03/2022 from Miss Amy Jackson - Flat 7, 16-18 Alhambra Road, Southsea"
2022-02-10,20-74-09 60458872,650.0,STO,J BOTTLE              RENT               STO,F58ALH,"Rent for period 07/02/2022 - 06/03/2022 from Mr James Bottle - Flat 5, 8 Alhambra Road"
