Date,Account,Amount,Subcategory,Memo,Property,Description
2017-01-03,20-74-09 60458872,-98.0,PAYMENT,HM PASSPORT OFFICE    ON 30 DEC          BCC,,
2017-01-03,20-74-09 40406538,-14.79,PAYMENT,CO-OP GROUP 310252    ON 31 DEC          CLP,,
2017-01-03,20-53-30 30728691,2609.16,STO,TUCKER MS     %0 P    205330 30728691    STO,,
2017-01-03,20-53-30 30728691,482.56,DIRECTDEP,BEALS ESTATE AGENT    FLAT 214-6 ALHAMBR BGC,,
2017-01-03,20-74-09 40406538,-13.48,PAYMENT,BOOTS,MILTON          ON 02 JAN          CLP,
2017-01-03,20-74-09 60458872,-23.4,PAYMENT,GRO HM PASSPORT OF    ON 30 DEC          BCC,,
2017-01-03,20-74-09 40406538,-3.29,PAYMENT,STARBUCKS             ON 02 JAN          CLP,,
2017-01-03,20-74-09 60458872,-2609.16,REPEATPMT,MR MATTHEW STUART     205330 30728691    STO,,
2017-01-03,20-53-30 30728691,385.08,DIRECTDEP,BEALS ESTATE AGENT    FLAT 512-14 ALHAMB BGC,,
2017-01-03,20-74-09 40406538,-2.99,PAYMENT,BURGER KING MIDSUM    ON 02 JAN          CLP,,
2017-01-03,20-53-30 30728691,-232.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 83672832    STO,,
2017-01-03,20-74-09 60458872,-232.5,REPEATPMT,4-6 ALHAMBRA RD CS    209254 83672832    STO,,
2017-01-03,20-53-30 30728691,-160.0,REPEATPMT,ALHAMBRA ROAD MANA    209254 13686035    STO,,
2017-01-03,20-74-09 60458872,-196.79,REPEATPMT,M TUCKER              MTUCKER            STO,,
2017-01-03,20-74-09 40406538,-15.39,CASH,POST OFFICE           46 ST JOHNS STREET,,
2017-01-03,20-53-30 30728691,-157.5,REPEATPMT,ALHAMBRA ROAD MANA    209254 23534332    STO,,
2017-01-03,20-74-09 60458872,-160.0,REPEATPMT,16-18 ALHAMBRA RD     209254 13686035    STO,,
2017-01-03,20-74-09 40406538,-79.0,PAYMENT,SPECSAVERS            ON 02 JAN          BCC,,
2017-01-03,20-74-09 60458872,-157.5,REPEATPMT,12-14 ALHAMBRA RD     209254 23534332    STO,,
2017-01-03,20-53-30 30728691,-50.0,REPEATPMT,NATIONWIDE            0604/229172770     STO,,
2017-01-03,20-74-09 40406538,-68.55,PAYMENT,NEXT RETAIL LTD       ON 31 DEC          BCC,,
2017-01-03,20-53-30 30728691,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2017-01-03,20-74-09 60458872,-50.0,REPEATPMT,M TUCKER              M TUCKER           STO,,
2017-01-03,20-74-09 40406538,-61.4,PAYMENT,MARKS&SPENCER PLC     ON 02 JAN          BCC,,
2017-01-03,20-53-30 30728691,-496.98,DIRECTDEBIT,NRAM                  24935234           DDR,,
2017-01-03,20-74-09 60458872,-50.0,REPEATPMT,23 HAMPSHIRE TERRA    209254 13676978    STO,,
2017-01-03,20-74-09 40406538,-4.18,PAYMENT,MKC PARKING RINGGO    ON 02 JAN          BCC,,
2017-01-04,20-74-09 40406538,39.0,BCC,SPECSAVERS            ON 03 JAN          BCC,,
2017-01-03,20-74-09 60458872,-167.33,DIRECTDEBIT,MORTGAGE EXPRESS      2016485130021917   DDR,,
2017-01-03,20-53-30 30728691,-203.37,DIRECTDEBIT,MORTGAGE EXPRESS      2016485220021917   DDR,,
2017-01-03,20-53-30 30728691,-165.45,DIRECTDEBIT,MORTGAGE EXPRESS      2007093270021917   DDR,,
2017-01-05,20-74-09 40406538,-23.72,PAYMENT,BP BEDFORD EXPRESS    ON 03 JAN          CLP,,
2017-01-03,20-74-09 60458872,-189.14,DIRECTDEBIT,MORTGAGE EXPRESS      2016485040021917   DDR,,
2017-01-03,20-53-30 30728691,-37.95,DIRECTDEBIT,LEGAL & GEN MI C/L    011439921-5        DDR,,
2017-01-05,20-74-09 40406538,-21.47,PAYMENT,FROSTS AT WILLINGT    ON 04 JAN          CLP,,
2017-01-03,20-74-09 60458872,-208.78,DIRECTDEBIT,MORTGAGE EXPRESS      2007545250021917   DDR,,
2017-01-05,20-74-09 40406538,-15.32,PAYMENT,TESCO STORE 2105      ON 04 JAN          CLP,,
2017-01-03,20-74-09 60458872,-201.56,DIRECTDEBIT,MORTGAGE EXPRESS      2007107760021917   DDR,,
2017-01-03,20-53-30 30728691,-195.72,DIRECTDEBIT,PLATFORM FUNDING      01050229961090     DDR,,
2017-01-05,20-74-09 40406538,-4.0,PAYMENT,FROSTS AT WILLINGT    ON 04 JAN          BCC,,
2017-01-03,20-74-09 60458872,-165.54,DIRECTDEBIT,MORTGAGE EXPRESS      2007093450021917   DDR,,
2017-01-03,20-53-30 30728691,-197.32,DIRECTDEBIT,PLATFORM FUNDING      01050228964703     DDR,,
2017-01-06,20-74-09 40406538,-20.56,PAYMENT,BP BEDFORD EXPRESS    ON 04 JAN          CLP,,
2017-01-03,20-74-09 60458872,-201.41,DIRECTDEBIT,MORTGAGE EXPRESS      2007093360021917   DDR,,
2017-01-03,20-53-30 30728691,-348.23,DIRECTDEBIT,MORTGAGE EXPRESS      MEC00005/480016104 DDR,,
2017-01-03,20-74-09 60458872,-165.44,DIRECTDEBIT,MORTGAGE EXPRESS      2006372640021917   DDR,,
2017-01-03,20-53-30 30728691,-356.83,DIRECTDEBIT,AMBER HOMELOANS       AHG00001/480441702 DDR,,
2017-01-06,20-74-09 40406538,-20.0,PAYMENT,MOBILE BLITZ          ON 05 JAN          CLP,,
2017-01-03,20-74-09 60458872,-180.37,DIRECTDEBIT,PLATFORM FUNDING      01050230313307     DDR,,
2017-01-04,20-53-30 30728691,392.15,DIRECTDEP,BEALS ESTATE AGENT    FLAT 316-18 ALHAMB BGC,,
2017-01-06,20-74-09 40406538,-14.99,PAYMENT,BOOTS,MILTON          ON 05 JAN          CLP,
2017-01-03,20-74-09 60458872,-195.72,DIRECTDEBIT,PLATFORM FUNDING      01050229961082     DDR,,
2017-01-04,20-53-30 30728691,392.14,DIRECTDEP,BEALS ESTATE AGENT    FLAT 716-18 ALHAMB BGC,,
2017-01-06,20-74-09 40406538,-7.83,PAYMENT,WH SMITH              ON 05 JAN          CLP,,
2017-01-04,20-53-30 30728691,382.85,DIRECTDEP,BEALS ESTATE AGENT    FLAT 224-6 ALHAMBR BGC,,
2017-01-03,20-74-09 60458872,-127.6,DIRECTDEBIT,MORTGAGE EXPRESS      0019966240021917   DDR,,
2017-01-06,20-74-09 40406538,-6.7,PAYMENT,COSTA COFFEE 43035    ON 05 JAN          CLP,,
2017-01-04,20-53-30 30728691,86.82,DIRECTDEP,BEALS ESTATE AGENT    FLAT 234-6 ALHAMBR BGC,,
2017-01-06,20-74-09 40406538,-2.15,PAYMENT,STARBUCKS             ON 05 JAN          CLP,,
2017-01-03,20-74-09 60458872,-141.63,DIRECTDEBIT,MORTGAGE EXPRESS      0018724700021917   DDR,,
2017-01-06,20-74-09 40406538,-84.65,PAYMENT,BP HARBOROUGH ROAD    ON 04 JAN          BCC,,
2017-01-03,20-74-09 60458872,-141.66,DIRECTDEBIT,MORTGAGE EXPRESS      0017031550021917   DDR,,
2017-01-04,20-53-30 30728691,-75.0,REPEATPMT,KINGSTON UNITY        PL684048A VALENTNO STO,,
2017-01-04,20-53-30 30728691,-75.0,DIRECTDEBIT,SHEPHERDS FS          PN026484A          DDR,,
2017-01-03,20-74-09 60458872,-135.4,DIRECTDEBIT,MORTGAGE EXPRESS      0016470530021917   DDR,,
2017-01-06,20-74-09 40406538,-55.04,PAYMENT,MARKS&SPENCER PLC     ON 05 JAN          BCC,,
2017-01-05,20-53-30 30728691,-311.08,DIRECTDEBIT,THE HARPUR TRUST      TUCKM8  PVALA1     DDR,,
2017-01-03,20-74-09 60458872,-129.29,DIRECTDEBIT,MORTGAGE EXPRESS      0015866140021917   DDR,,
2017-01-06,20-74-09 40406538,-4.18,PAYMENT,MKC PARKING RINGGO    ON 05 JAN          BCC,,
2017-01-03,20-74-09 60458872,-58.18,DIRECTDEBIT,EE & T-MOBILE         Q13077400680516152 DDR,,
2017-01-05,20-53-30 30728691,-1301.26,DIRECTDEBIT,THE HARPUR TRUST      TUCKM8  BVALR8     DDR,,
2017-01-06,20-74-09 40406538,-0.5,PAYMENT,THREE STORE           ON 05 JAN          BCC,,
2017-01-03,20-74-09 60458872,-93.49,DIRECTDEBIT,CAPITAL HOME LOANS    CHL00002/907372200 DDR,,
2017-01-05,20-53-30 30728691,-1132.64,DIRECTDEBIT,THE HARPUR TRUST      TUCKMS  GVALS1     DDR,,
2017-01-06,20-74-09 40406538,-0.5,PAYMENT,THREE-RETAIL          ON 05 JAN          BCC,,
