Date,Account,Amount,Subcategory,Memo
2023-01-01,60-83-71 00558156,600.0,REVENUE,NATSO P JANUARY RENT 
2023-01-01,60-83-71 00558156,900.0,REVENUE,C Prescott FLAT 3 321 LDN RD 
2023-01-01,60-83-71 00558156,-315.0,REPAIRS_AND_MAINTENANCE,ALHHAMBRA ROAD M Tucker SC 
2023-01-01,60-83-71 00558156,-320.0,REPAIRS_AND_MAINTENANCE,Alhambra Road M Tucker SC 
2023-01-01,60-83-71 00558156,-100.0,REPAIRS_AND_MAINTENANCE,Lordswood Estates M Tucker SC 
2023-01-01,60-83-71 00558156,-465.0,REPAIRS_AND_MAINTENANCE,Alhambra Road M Tucker SC 
2023-01-02,60-83-71 00558156,950.0,REVENUE,HICKS S 23BHAMPTERRACE 
2023-01-02,60-83-71 00558156,925.0,REVENUE,MANGATTU KIZ Rent 
2023-01-02,60-83-71 00558156,900.0,REVENUE,FYLES GR RENTF1 16-18 ALHAM 
2023-01-03,20-53-97 30728691,-445.54,Direct Debit,PLATFORM FUNDING      01050228964703 DDR
2023-01-03,20-53-97 30728691,-300.0,Direct Debit,HMRC NDDS             107381297851953681 DD
2023-01-03,20-53-97 30728691,-37.95,Direct Debit,L&G INSURANCE MI      0114399215-230103 DDR
2023-01-03,20-53-97 30728691,-50.0,Standing Order,NATIONWIDE            0604/229172770 STO
2023-01-03,20-53-97 30728691,-563.41,Direct Debit,TOPAZ RE SIBERITE     SIB00001/480016104 DD
2023-01-03,20-53-97 30728691,-805.96,Direct Debit,NRAM                  NRD00001/631516204 DD
2023-01-03,20-53-97 30728691,-536.6,Direct Debit,TOPAZ FIN JASPER      PRU00010/191462710 DD
2023-01-03,20-53-97 30728691,-441.94,Direct Debit,PLATFORM FUNDING      01050229961090 DDR
2023-01-03,20-74-09 60458872,-341.14,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/130654303 DD
2023-01-03,20-74-09 60458872,-12.99,Card Purchase,AMZNMktplace          ON 03 JAN BCC
2023-01-03,20-74-09 60458872,3234.04,Standing Order,Rsa Capital Limite    Mortgages STO
2023-01-03,20-74-09 60458872,-336.67,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/132514207 DD
2023-01-03,20-74-09 60458872,-436.52,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/134121904 DD
2023-01-03,20-74-09 60458872,-531.45,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/134332909 DD
2023-01-03,20-74-09 60458872,-436.78,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/134333009 DD
2023-01-03,20-74-09 60458872,-531.83,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/134338410 DD
2023-01-03,20-74-09 60458872,-550.88,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/134467209 DD
2023-01-03,20-74-09 60458872,-499.07,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/137376006 DD
2023-01-03,20-53-97 30728691,-436.55,Direct Debit,TOPAZ FIN JASPER      PRU00010/190859005 DD
2023-01-03,20-74-09 60458872,-441.5,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/137376104 DD
2023-01-03,20-74-09 60458872,-32.76,Direct Debit,PIC RE ARGOS PET      PETAG934657920001 DDR
2023-01-03,20-74-09 60458872,-269.32,Direct Debit,CHL HOME LOAN         CHL00002/907371904 DD
2023-01-03,20-74-09 60458872,-267.75,Direct Debit,CHL HOME LOAN         CHL00002/907372200 DD
2023-01-03,20-74-09 60458872,-300.0,Direct Debit,HMRC NDDS             107381630851953695 DD
2023-01-03,20-74-09 60458872,-442.69,Direct Debit,PLATFORM FUNDING      01050229961082 DDR
2023-01-03,20-74-09 60458872,-407.96,Direct Debit,PLATFORM FUNDING      01050230313307 DDR
2023-01-03,20-74-09 60458872,-300.0,Standing Order,G & F VALENTINO       M TUCKER STO
2023-01-03,20-74-09 60458872,-22.16,Direct Debit,EE LIMITED            Q13077400383395184 DD
2023-01-03,20-74-09 60458872,-373.7,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/131992707 DD
2023-01-03,20-74-09 60458872,-373.78,Direct Debit,TOPAZ FIN ROSINCA     BLA00010/131188407 DD
2023-01-03,20-74-09 40406538,-33.13,Contactless Card Purchase,TESCO STORES 2105     ON 02 JAN CLP
2023-01-03,20-74-09 40406538,-75.02,Card Purchase,TESCO PAY AT PUMP     ON 02 JAN BCC
2023-01-03,20-74-09 40406538,-7.7,Contactless Card Purchase,43035905 COSTA COF    ON 02 JAN CLP
2023-01-03,20-74-09 40406538,-47.0,Card Purchase,SELFRIDGES.COM        ON 01 JAN BCC
2023-01-03,60-83-71 00558156,-835.0,WORKPLACE,Tds.Gb WWW.TDS.GB.COM flat 1 321 London Road move in date 19/12/2022 £835 deposit registered with TDS on 2/1/2023 soumya xaviour
2023-01-03,60-83-71 00558156,-3234.04,INTEREST_PAYMENTS,Matthew Tucker Mortgages 
2023-01-03,20-74-09 40406538,-5.5,Contactless Card Purchase,BP BEDFORD EXPRESS    ON 30 DEC CLP
2023-01-03,20-74-09 40406538,-11.2,Contactless Card Purchase,MARKS&SPENCER PLC     ON 31 DEC CLP
2023-01-03,20-74-09 40406538,-40.0,Cash Withdrawal,TESCO                 TESCO BEDFORD CARD02J
2023-01-03,20-74-09 40406538,-71.5,Direct Debit,CLUB TOWERS LTD       3QXSY9V DDR
2023-01-03,20-74-09 40406538,-76.0,Card Purchase,WWW.LIBERTY.CO.UK     ON 30 DEC BCC
2023-01-04,20-74-09 40406538,-18.67,Contactless Card Purchase,BP BEDFORD EXPRESS    ON 02 JAN CLP
2023-01-04,20-74-09 40406538,-20.7,Contactless Card Purchase,BP BEDFORD EXPRESS    ON 02 JAN CLP
2023-01-04,20-74-09 40406538,-1.6,Contactless Card Purchase,CLUB TOWERS           ON 02 JAN CLP
2023-01-04,20-53-97 30728691,-75.0,Standing Order,KINGSTON UNITY        PL684048A VALENTNO ST
2023-01-04,20-53-97 30728691,-1657.89,Direct Debit,THE HARPUR TRUST D    GVALS1 DDR
2023-01-04,20-53-97 30728691,-1580.68,Direct Debit,THE HARPUR TRUST D    BVAL000 DDR
2023-01-04,60-83-71 00558156,-15.3,ADMIN,"Post Office Counter POST OFFICE COUNTER tenancy agreement for flat 712-14.. Michael lovace, includes return postage"
2023-01-04,60-83-71 00558156,-15.0,REPAIRS_AND_MAINTENANCE,Peter Taperek 7 12-14 electric 
2023-01-04,20-74-09 40406538,-17.25,Contactless Card Purchase,CO OPERATIVE FOOD     ON 03 JAN CLP
2023-01-04,20-74-09 40406538,-40.75,Contactless Card Purchase,TESCO STORES 2547     ON 03 JAN CLP
2023-01-04,20-53-97 30728691,-75.0,Direct Debit,SHEPHERDS FRIENDLY    PN026484A DDR
2023-01-04,20-53-97 30728691,-2446.25,Direct Debit,THE HARPUR TRUST D    TUCKM8 BVALR8 DDR
2023-01-05,60-83-71 00558156,85.0,REVENUE,Flat 1 321 London SEQUENCE  UK  LIMI 
2023-01-05,20-74-09 40406538,-26.5,Contactless Card Purchase,TESCO STORES 2105     ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-9.35,Contactless Card Purchase,THE HIGHLANDS PHAR    ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-35.0,Contactless Card Purchase,CO OPERATIVE FOOD     ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-3.5,Contactless Card Purchase,THE HUB DENTAL PRA    ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-25.0,Contactless Card Purchase,THE HUB DENTAL PRA    ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-4.5,Contactless Card Purchase,MILTON KEYNES PARK    ON 04 JAN CLP
2023-01-05,20-74-09 40406538,-2.19,Contactless Card Purchase,BUDGENS               ON 04 JAN CLP
2023-01-05,20-74-09 60458872,-16.48,Direct Debit,PAYPAL PAYMENT        5CM22229DF5GW DDR
2023-01-05,20-74-09 40406538,-100.0,Cash Withdrawal,SAINSBURYS BANK       Sainsburys Bank05JAN 
2023-01-05,60-83-71 00558156,452.0,REVENUE,BEALS ESTATE AGENT FLAT 78 ALHAMBRA R 
