Date,Account,Amount,Subcategory,Memo
2023-06-01,20-74-09 60458872,141.0,Counter Credit,BEALS ESTATE AGENT    FLAT 4321 LONDON R BG
2023-06-01,20-53-97 30728691,-510.98,Direct Debit,PLATFORM FUNDING      01050230313307 DDR
2023-06-01,20-53-97 30728691,-553.54,Direct Debit,PLATFORM FUNDING      01050229961090 DDR
2023-06-01,20-53-97 30728691,-554.48,Direct Debit,PLATFORM FUNDING      01050229961082 DDR
2023-06-01,20-53-97 30728691,-558.05,Direct Debit,PLATFORM FUNDING      01050228964703 DDR
2023-06-01,20-53-97 30728691,-346.03,Direct Debit,CHL HOME LOAN         CHL00002/907372200 DD
2023-06-01,20-53-97 30728691,-348.06,Direct Debit,CHL HOME LOAN         CHL00002/907371904 DD
2023-06-01,20-53-97 30728691,-678.34,Direct Debit,TOPAZ RE SIBERITE     SIB00001/480016104 DD
2023-06-01,20-53-97 30728691,-971.26,Direct Debit,NRAM                  NRD00001/631516204 DD
2023-06-01,20-53-97 30728691,-519.74,Direct Debit,TOPAZ FIN JASPER      PRU00010/190859005 DD
2023-06-01,60-83-71 00558156,-154.52,REPAIRS_AND_MAINTENANCE,Portsmouth City Council 105975622 23C 
2023-06-01,20-74-09 40406538,-41.24,Card Purchase,TESCO PAY AT PUMP     ON 31 MAY BCC
2023-06-01,20-53-97 30728691,-300.0,Direct Debit,HMRC NDDS             107381297996418063 DD
2023-06-01,20-74-09 40406538,-36.45,Contactless Card Purchase,TESCO STORES 2105     ON 31 MAY CLP
2023-06-01,60-83-71 00558156,950.0,REVENUE,HICKS S 23BHAMPTERRACE 
2023-06-01,60-83-71 00558156,600.0,REVENUE,NATSO P BILL 
2023-06-01,60-83-71 00558156,-5340.48,INTEREST_PAYMENTS,Ivana Valentino Mortgages 
2023-06-01,60-83-71 00558156,900.0,REVENUE,Charles Prescott FLAT 3 321 LDN RD 
2023-06-01,60-83-71 00558156,79.0,REVENUE,BEALS ESTATE AGENT FLAT 1612-14 ALHAM 
2023-06-01,60-83-71 00558156,612.3,REVENUE,BEALS ESTATE AGENT FLAT 1616-18 ALHAM 
