Date,Account,Amount,Description,Memo,Property,Subcategory
2019-03-01,20-74-09 60458872,-3.99,,QUEENSWAY COFFEE      ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 40406538,-20.17,,MARKS&SPENCER PLC     ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-53-97 30728691,2500.0,,Bugisiw Limited       BUGISIW LTD        BGC,,DIRECTDEP
2019-03-01,20-53-97 30728691,111.36,,BEALS ESTATE AGENT    196B KINGSTON ROAD BGC,,DIRECTDEP
2019-03-01,20-74-09 40406538,-4.4,,COSTA COFFEE 43035    ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-2.04,,NYA*Express Vendin    ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 40406538,-2.0,,BP BEDFORD EXPRESS    ON 27 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-0.89,,NYA*Express Vendin    ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-53-97 30728691,2609.16,,TUCKER MS     %0 P    205330 30728691    STO,,STO
2019-03-01,20-74-09 40406538,-42.32,,BP BEDFORD EXPRESS    ON 27 FEB          BCC,,PAYMENT
2019-03-01,20-53-97 30728691,-50.0,,NATIONWIDE            0604/229172770     STO,,REPEATPMT
2019-03-01,20-74-09 60458872,-0.89,,NYA*Express Vendin    ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-166.0,Need to get refund for this - property was sold on 22/2,PORTSMOUTH COUNCIL    104502110          STO,F2163FRA,REPEATPMT
2019-03-01,20-74-09 40406538,-9.0,,H3G                   976046856201270219 DDR,,DIRECTDEBIT
2019-03-01,20-53-97 30728691,-50.0,,23 HAMPSHIRE TERRA    209254 13676978    STO,,REPEATPMT
2019-03-01,20-74-09 60458872,-2609.16,,MR MATTHEW STUART     205330 30728691    STO,,REPEATPMT
2019-03-04,20-74-09 40406538,-10.0,,POST OFFICE           4 THE GREEN,,CASH
2019-03-01,20-53-97 30728691,-160.0,,ALHAMBRA ROAD MANA    209254 13686035    STO,,REPEATPMT
2019-03-01,20-53-97 30728691,-157.5,,ALHAMBRA ROAD MANA    209254 23534332    STO,,REPEATPMT
2019-03-04,20-74-09 40406538,-5.67,,MCDONALDS             ON 03 MAR          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-196.79,,M TUCKER              MTUCKER            STO,,REPEATPMT
2019-03-01,20-53-97 30728691,-232.5,,ALHAMBRA ROAD MANA    209254 83672832    STO,,REPEATPMT
2019-03-04,20-74-09 40406538,-13.06,,BP BEDFORD EXPRESS    ON 02 MAR          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-50.0,,M TUCKER              M TUCKER           STO,,REPEATPMT
2019-03-01,20-53-97 30728691,-386.17,,MORTGAGE EXPRESS      MEC02005/480016104 DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-34.34,,BP BEDFORD EXPRESS    ON 02 MAR          BCC,,PAYMENT
2019-03-01,20-74-09 60458872,-50.0,,23 HAMPSHIRE TERRA    209254 13676978    STO,,REPEATPMT
2019-03-01,20-74-09 60458872,-160.0,,16-18 ALHAMBRA RD     209254 13686035    STO,,REPEATPMT
2019-03-04,20-74-09 40406538,-22.14,,MARKS&SPENCER PLC     ON 02 MAR          CLP,,PAYMENT
2019-03-01,20-53-97 30728691,-206.82,,TOPAZ FIN JASPER      PRU00010/190859005 DDR,,DIRECTDEBIT
2019-03-01,20-74-09 60458872,-157.5,,12-14 ALHAMBRA RD     209254 23534332    STO,,REPEATPMT
2019-03-04,20-74-09 40406538,-7.24,,CO OPERATIVE FOOD     ON 02 MAR          CLP,,PAYMENT
2019-03-01,20-53-97 30728691,-375.8,,AMBER HOMELOANS       AHG00001/480441702 DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-34.78,,BOOTS 6407            ON 02 MAR          BCC,,PAYMENT
2019-03-01,20-74-09 60458872,-232.5,,4-6 ALHAMBRA RD CS    209254 83672832    STO,,REPEATPMT
2019-03-01,20-53-97 30728691,-240.21,,PLATFORM FUNDING      01050229961090     DDR,,DIRECTDEBIT
2019-03-01,20-53-97 30728691,-242.16,,PLATFORM FUNDING      01050228964703     DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-20.88,,TESCO STORE 2105      ON 01 MAR          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-221.36,,PLATFORM FUNDING      01050230313307     DDR,,DIRECTDEBIT
2019-03-01,20-53-97 30728691,-551.52,,NRAM                  24935234           DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-1.6,,TESCO STORE 2105      ON 01 MAR          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-240.21,,PLATFORM FUNDING      01050229961082     DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-18.7,,MARKS&SPENCER PLC     ON 01 MAR          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-23.45,,ARGOS PET INS         RSAP9346579200     DDR,,DIRECTDEBIT
2019-03-01,20-53-97 30728691,-1134.27,,THE HARPUR TRUST D    TUCKM8  PVALA1     DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-3.95,,COSTA COFFEE 43035    ON 01 MAR          CLP,,PAYMENT
2019-03-01,20-53-97 30728691,-1797.56,,THE HARPUR TRUST D    TUCKM8  BVALR8     DDR,,DIRECTDEBIT
2019-03-01,20-74-09 60458872,-124.68,,CHL HOME LOAN         CHL00002/907372200 DDR,,DIRECTDEBIT
2019-03-01,20-53-97 30728691,-1563.22,,THE HARPUR TRUST D    TUCKMS  GVALS1     DDR,,DIRECTDEBIT
2019-03-04,20-74-09 40406538,-17.94,,BP BEDFORD EXPRESS    ON 28 FEB          CLP,,PAYMENT
2019-03-01,20-74-09 60458872,-125.34,,CHL HOME LOAN         CHL00002/907371904 DDR,,DIRECTDEBIT
2019-03-04,20-53-97 30728691,226.0,,BEALS ESTATE AGENT    FLAT 78 ALHAMBRA R BGC,,DIRECTDEP
2019-03-04,20-74-09 40406538,-3.3,,BP BEDFORD EXPRESS    ON 28 FEB          CLP,,PAYMENT
2019-03-04,20-74-09 60458872,8000.0,,M Tucker              M TUCKER           BGC,,DIRECTDEP
2019-03-04,20-74-09 60458872,-150.0,,COMPANIES HOUSE       1A 04148498        FT,,FT
